Business Legal Name,Assumed Name(s),Street,City,Borough,Postcode,License Type,License Status,License Issue Date,License Expiration Date,Latitude,Longitude,Council District,Community Board,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location
MANHATTAN ISLAND GROUP LLC,FRESH SALT,146 BEEKMAN STREET,NEW YORK,Manhattan,10038,Roadway,Issued,05/09/2025 09:13:37 AM,05/09/2029 11:59:59 PM,40.707035275178,-74.002589711888,1,101,1078978,1000970015,1501,MN0101,POINT (-74.002589711888 40.707035275178)
"WHITE HORSE HOSPITALITY, LLC",WHITE HORSE TAVERN,567 HUDSON STREET,NEW YORK,Manhattan,10014,Roadway,Issued,08/29/2025 01:53:05 PM,08/29/2029 11:59:59 PM,40.735734434497,-74.005986336556,3,102,1080232,1006330052,75,MN0203,POINT (-74.005986336556 40.735734434497)
GREENVALE EMOJI BURGER INC,EMOJI BURGER,36-20 30 AVENUE,ASTORIA,Queens,11103,Sidewalk,Issued,12/19/2024 10:17:56 AM,12/19/2028 11:59:59 PM,40.76489522562,-73.917161626239,22,401,4010016,4006510049,63,QN0103,POINT (-73.917161626239 40.76489522562)
"PUAR, LLC",ENTWINE,765 WASHINGTON STREET,NEW YORK,Manhattan,10014,Roadway,Issued,05/16/2025 03:59:53 PM,05/16/2029 11:59:59 PM,40.737389389895,-74.00820570751,3,102,1012053,1006400039,79,MN0203,POINT (-74.00820570751 40.737389389895)
GAMMA THOMPSON CORP,BLUE HAVEN,108 WEST HOUSTON STREET,NEW YORK,Manhattan,10012,Roadway,Issued,02/13/2026 02:58:36 PM,02/13/2030 11:59:59 PM,40.727343841457,-74.000739628621,2,102,1008252,1005250025,65,MN0202,POINT (-74.000739628621 40.727343841457)
SWISS WHITE INT'L LLC,RAY'S,177 CHRYSTIE STREET,NEW YORK,Manhattan,10002,Roadway,Issued,08/15/2025 04:00:46 PM,08/15/2029 11:59:59 PM,40.721063561976,-73.99234105841,1,103,1005689,1004250026,18,MN0302,POINT (-73.99234105841 40.721063561976)
AIN JUPITER LLC,LA SIRENE UWS,416 AMSTERDAM AVENUE,NEW YORK,Manhattan,10024,Roadway,Issued,01/02/2026 01:30:51 PM,01/02/2030 11:59:59 PM,40.783724567735,-73.977911443232,6,107,1032636,1012270036,167,MN0702,POINT (-73.977911443232 40.783724567735)
SANGSIRI INC,LEMONGRASS GRILL,156 COURT STREET,BROOKLYN,Brooklyn,11201,Roadway,Issued,06/06/2025 10:10:09 AM,06/06/2029 11:59:59 PM,40.688645110825,-73.992878461127,39,306,3003071,3002920032,45,BK0601,POINT (-73.992878461127 40.688645110825)
BAR BERTRAND LLC,KING TAI,1095 BERGEN STREET,BROOKLYN,Brooklyn,11216,Roadway,Issued,01/02/2026 02:57:21 PM,01/02/2030 11:59:59 PM,40.676063059259,-73.949322269168,36,308,3030395,3012130078,315,BK0802,POINT (-73.949322269168 40.676063059259)
RICO BAGEL INC.,RICO BAGEL,238 MADISON AVENUE,NEW YORK,Manhattan,10016,Sidewalk,Issued,03/06/2026 10:55:23 AM,03/06/2030 11:59:59 PM,40.749939970848,-73.981380276359,4,105,1017195,1008670016,82,MN0502,POINT (-73.981380276359 40.749939970848)
MUD LLC.,MUDSPOT,307 EAST    9 STREET,NEW YORK,Manhattan,10003,Roadway,Issued,07/03/2025 04:25:25 PM,07/03/2029 11:59:59 PM,40.728992686719,-73.986783771014,2,103,1077567,1004510001,4001,MN0303,POINT (-73.986783771014 40.728992686719)
TALEA BEER INC,TALEA BEER,102 CHRISTOPHER STREET,NEW YORK,Manhattan,10014,Roadway,Issued,08/29/2025 01:48:33 PM,08/29/2029 11:59:59 PM,40.733286158011,-74.004856728033,3,102,1010039,1005880054,73,MN0203,POINT (-74.004856728033 40.733286158011)
GST399 INC.,GREENWICH STREET TAVERN,399 GREENWICH STREET,NEW YORK,Manhattan,10013,Sidewalk,Issued,01/09/2026 01:45:10 PM,01/09/2030 11:59:59 PM,40.72085203149,-74.010036320129,1,101,1079554,1002140002,39,MN0102,POINT (-74.010036320129 40.72085203149)
WEPA LA AREPA LLC,MITI MITI TAPERIA,138 5 AVENUE,NEW YORK,Manhattan,10011,Roadway,Issued,08/08/2025 02:52:17 PM,08/08/2029 11:59:59 PM,40.738918202208,-73.991505417587,3,105,1015454,1008200046,54,MN0501,POINT (-73.991505417587 40.738918202208)
DAO THONG CORP.,BORAN THAI CUISINE,462 COURT STREET,BROOKLYN,Brooklyn,11231,Roadway,Issued,10/17/2025 03:46:29 PM,10/17/2029 11:59:59 PM,40.678190466321,-73.997916151043,39,306,3005418,3003710040,65,BK0601,POINT (-73.997916151043 40.678190466321)
"TALIA'S RESTAURANT GROUP, LLC",TALIA'S STEAKHOUSE,668 AMSTERDAM AVENUE,NEW YORK,Manhattan,10025,Sidewalk,Issued,06/27/2025 08:07:16 PM,06/27/2029 11:59:59 PM,40.791853227041,-73.971978728216,7,107,1033614,1012400036,179,MN0702,POINT (-73.971978728216 40.791853227041)
RUBY'S WEST VILLAGE LLC,LITTLE RUBYS CAFE,225 WEST    4 STREET,NEW YORK,Manhattan,10014,Sidewalk,Issued,02/14/2025 12:44:14 PM,02/14/2029 11:59:59 PM,40.733719899377,-74.002803642154,3,102,1080198,1006100009,73,MN0203,POINT (-74.002803642154 40.733719899377)
GOLDEN MONKEY MAGIC INC,WEI WILLIAMSBURGH,145 BORINQUEN PLACE,BROOKLYN,Brooklyn,11211,Sidewalk,Issued,03/07/2025 08:50:39 AM,03/07/2029 11:59:59 PM,40.710668407853,-73.954049935468,34,301,3063036,3024110017,513,BK0102,POINT (-73.954049935468 40.710668407853)
FRANK GROCERY CORP,LIL FRANKIE'S GROCERY,21 1 AVENUE,NEW YORK,Manhattan,10003,Sidewalk,Issued,02/27/2026 01:49:39 PM,02/27/2030 11:59:59 PM,40.723519783072,-73.988256817111,2,103,1006095,1004430035,3602,MN0303,POINT (-73.988256817111 40.723519783072)
EPSTEIN'S BAR LLC,82 STANTON,82 STANTON STREET,NEW YORK,Manhattan,10002,Sidewalk,Issued,02/13/2026 02:23:31 PM,02/13/2030 11:59:59 PM,40.721551840317,-73.988809132558,1,103,1079079,1004170070,3001,MN0302,POINT (-73.988809132558 40.721551840317)
"you're almost there, inc.",BIBI WINECELLAR,211 EAST    4 STREET,NEW YORK,Manhattan,10009,Roadway,Issued,08/01/2025 01:49:12 PM,08/01/2029 11:59:59 PM,40.723749775135,-73.983620818689,2,103,1005035,1004000052,32,MN0303,POINT (-73.983620818689 40.723749775135)
SWEET RANGER INC,BAR BELLY,14B ORCHARD STREET,NEW YORK,Manhattan,10002,Roadway,Issued,06/27/2025 07:41:06 PM,06/27/2029 11:59:59 PM,40.715214417866,-73.991714065461,1,103,,,16,MN0301,POINT (-73.991714065461 40.715214417866)
SEAN OG ENTERPRISE LLC,SEAN OG,60-02 WOODSIDE AVENUE,WOODSIDE,Queens,11377,Roadway,Issued,01/09/2026 01:44:02 PM,01/09/2030 11:59:59 PM,40.745059827543,-73.904320622438,26,402,4031423,4013350031,249,QN0203,POINT (-73.904320622438 40.745059827543)
DUTCH FREDS INC,DUTCH FREDS,307 WEST   47 STREET,NEW YORK,Manhattan,10036,Roadway,Issued,05/16/2025 03:50:23 PM,05/16/2029 11:59:59 PM,40.760637184115,-73.988015613768,3,104,1025099,1010380028,127,MN0402,POINT (-73.988015613768 40.760637184115)
"BOOK CLUB BAR, LLC",BOOK CLUB BAR,197 EAST    3 STREET,NEW YORK,Manhattan,10009,Roadway,Issued,08/08/2025 02:39:44 PM,08/08/2029 11:59:59 PM,40.722920844715,-73.983545261413,2,103,1005000,1003990039,32,MN0303,POINT (-73.983545261413 40.722920844715)
OLIO RESTAURANTS LLC,OLIO E PIU,3 GREENWICH AVENUE,NEW YORK,Manhattan,10014,Roadway,Issued,02/27/2026 01:53:40 PM,02/27/2030 11:59:59 PM,40.733931279931,-73.999635561442,3,102,1010268,1005930013,71,MN0203,POINT (-73.999635561442 40.733931279931)
"ESPRESSO 77, INC",ESPRESSO 77,35-57 77 STREET,JACKSON HEIGHTS,Queens,11372,Roadway,Issued,10/03/2025 01:25:54 PM,10/03/2029 11:59:59 PM,40.750911834014,-73.889254484113,25,403,4029588,4012770036,287,QN0301,POINT (-73.889254484113 40.750911834014)
SCATTO BAR LLC,BOTTE BAR,25-07 BROADWAY,ASTORIA,Queens,11106,Roadway,Issued,02/06/2026 10:52:45 AM,02/06/2030 11:59:59 PM,40.763313448731,-73.928202681178,22,401,4007102,4005790016,75,QN0103,POINT (-73.928202681178 40.763313448731)
LUISA CAPITAL LLC,PICCOLO CUCINA CASA,141 NEVINS STREET,BROOKLYN,Brooklyn,11217,Sidewalk,Issued,02/13/2026 03:48:57 PM,02/13/2030 11:59:59 PM,40.684310195545,-73.98384687986,33,302,3332449,3001970002,39,BK0202,POINT (-73.98384687986 40.684310195545)
101 WILSON BAR LLC,101 WILSON BAR,101 WILSON AVENUE,BROOKLYN,Brooklyn,11237,Roadway,Issued,10/17/2025 03:42:58 PM,10/17/2029 11:59:59 PM,40.701497896968,-73.927119024631,34,304,3072501,3031860004,427,BK0401,POINT (-73.927119024631 40.701497896968)
364 ATLANTIC REST LLC,SOMEDAY,364 ATLANTIC AVENUE,BROOKLYN,Brooklyn,11217,Sidewalk,Issued,08/15/2025 04:06:47 PM,08/15/2029 11:59:59 PM,40.687260302104,-73.98638467024401,33,302,3000879,3001830016,41,BK0202,POINT (-73.98638467024401 40.687260302104)
"CAFE AKA CP, LLC.",a.CAFE/ a. LOUNGE,42 WEST   58 STREET,NEW YORK,Manhattan,10019,Roadway,Issued,05/23/2025 11:28:32 AM,05/23/2029 11:59:59 PM,40.764354274867,-73.975188764417,4,105,1035075,1012730060,11201,MN0502,POINT (-73.975188764417 40.764354274867)
135 WEST B FOOD & DRINK LLC,TINY'S & THE BAR UPSTAIRS,135 WEST BROADWAY,NEW YORK,Manhattan,10013,Sidewalk,Issued,01/16/2026 01:19:23 PM,01/16/2030 11:59:59 PM,40.716704503035,-74.00797335152,1,101,1001612,1001470012,33,MN0102,POINT (-74.00797335152 40.716704503035)
"GIURO, LLC",AITA / MAYFLOWER,132 GREENE AVENUE,BROOKLYN,Brooklyn,11238,Sidewalk,Issued,03/07/2025 08:32:35 AM,03/07/2029 11:59:59 PM,40.686595631694,-73.966675831359,35,302,3055998,3019610039,199,BK0204,POINT (-73.966675831359 40.686595631694)
DITMARS BOULEVARD KX LLC,KX BURGER & BEYOND,29-04 DITMARS BOULEVARD,ASTORIA,Queens,11105,Sidewalk,Issued,05/23/2025 11:59:55 AM,05/23/2029 11:59:59 PM,40.776712707678,-73.911550389917,22,401,4017609,4008440033,115,QN0101,POINT (-73.911550389917 40.776712707678)
8BELLES LLC,SHAFFER'S,151 8 AVENUE,NEW YORK,Manhattan,10011,Roadway,Issued,10/03/2025 01:43:19 PM,10/03/2029 11:59:59 PM,40.741956965694,-74.000927445893,3,104,1013080,1007410034,83,MN0401,POINT (-74.000927445893 40.741956965694)
OLD HEIDELBERG CORP,HEIDELBERG,1648 2 AVENUE,NEW YORK,Manhattan,10028,Sidewalk,Issued,12/19/2025 10:52:19 AM,12/19/2029 11:59:59 PM,40.777497045911,-73.95199971924,5,108,1050020,1015480052,14601,MN0803,POINT (-73.95199971924 40.777497045911)
AIME LEON DORE SOHO LLC,AIME LEON DORE SOHO,214 MULBERRY STREET,NEW YORK,Manhattan,10012,Roadway,Issued,02/13/2026 02:25:07 PM,02/13/2030 11:59:59 PM,40.722153426537,-73.996175877837,1,102,1075962,1004947502,43,MN0201,POINT (-73.996175877837 40.722153426537)
EL MONO LLC,CASA MONO / BAR JAMON,52 IRVING PLACE,NEW YORK,Manhattan,10003,Sidewalk,Issued,02/20/2026 03:03:56 PM,02/20/2030 11:59:59 PM,40.735956215416,-73.98731642956,2,106,1017846,1008730022,5,MN0602,POINT (-73.98731642956 40.735956215416)
Perrine O'Neil LLC,AMERICAN CHEEZ,444 7 AVENUE,BROOKLYN,Brooklyn,11215,Roadway,Issued,05/02/2025 02:22:14 PM,05/02/2029 11:59:59 PM,40.663148087755,-73.984709885422,39,307,3024023,3010490044,14902,BK0701,POINT (-73.984709885422 40.663148087755)
HART BAR INC,HART BAR,538 HART STREET,BROOKLYN,Brooklyn,11221,Roadway,Issued,05/16/2025 03:51:59 PM,05/16/2029 11:59:59 PM,40.696531573356,-73.929868847333,34,304,3073373,3032260009,393,BK0401,POINT (-73.929868847333 40.696531573356)
46-02 SKILLMAN CAFE LLC,CLARET WINE BAR,46-02 SKILLMAN AVENUE,SUNNYSIDE,Queens,11104,Sidewalk,Issued,01/15/2025 10:29:01 AM,01/15/2029 11:59:59 PM,40.746533280431,-73.917863036128,26,402,4001250,4001370027,25301,QN0202,POINT (-73.917863036128 40.746533280431)
"JMWILLIAMS, LLC",BUVETTE,42 GROVE STREET,NEW YORK,Manhattan,10014,Roadway,Issued,07/18/2025 02:56:44 PM,07/18/2029 11:59:59 PM,40.732759180971,-74.004416484337,3,102,1010016,1005880018,73,MN0203,POINT (-74.004416484337 40.732759180971)
"TIMES SQUARE BARBECUE, INC",VIRGIL'S BBQ,152 WEST   44 STREET,NEW YORK,Manhattan,10036,Roadway,Issued,02/27/2026 02:29:19 PM,02/27/2030 11:59:59 PM,40.756709021073,-73.984558382743,4,105,1022621,1009960054,119,MN0502,POINT (-73.984558382743 40.756709021073)
11-26 LLC,HAV & MAR RESTAURANT,601 WEST   26 STREET,NEW YORK,Manhattan,10001,Sidewalk,Issued,08/22/2025 03:17:52 PM,08/22/2029 11:59:59 PM,40.750926696187,-74.005955224,3,104,1012268,1006720001,9902,MN0401,POINT (-74.005955224 40.750926696187)
TPK HOLDINGS LLC,7TH STREET BURGER,91 EAST    7 STREET,NEW YORK,Manhattan,10009,Roadway,Issued,02/27/2026 01:04:41 PM,02/27/2030 11:59:59 PM,40.726835133231,-73.985402368383,2,103,1005814,1004350001,32,MN0303,POINT (-73.985402368383 40.726835133231)
CRISPY DUCK AND NICE WINE LLC,TOLO,28 CANAL STREET,NEW YORK,Manhattan,10002,Roadway,Issued,10/03/2025 01:48:42 PM,10/03/2029 11:59:59 PM,40.714459509526,-73.99046605311,1,103,1003600,1002830074,6,MN0301,POINT (-73.99046605311 40.714459509526)
"CHAIKHANA 7:40, CORP.",CHAIKHANA 7:40,63-52 BOOTH STREET,REGO PARK,Queens,11374,Sidewalk,Issued,02/06/2026 11:05:53 AM,02/06/2030 11:59:59 PM,40.728846734493,-73.863818604788,30,406,4072416,4030930030,693,QN0601,POINT (-73.863818604788 40.728846734493)
23RD STREET LITTLE ITALY PIZZA CORP.,LITTLE ITALY PIZZA,359 EAST   68 STREET,NEW YORK,Manhattan,10065,Sidewalk,Issued,02/20/2026 03:06:01 PM,02/20/2030 11:59:59 PM,40.765678057521,-73.958892596624,5,108,1044795,1014437501,118,MN0801,POINT (-73.958892596624 40.765678057521)
RUBY'S WILLIAMSBURG LLC,LITTLE RUBY'S WILLIAMSBURG,98 BERRY STREET,BROOKLYN,Brooklyn,11249,Sidewalk,Issued,02/27/2026 01:50:50 PM,02/27/2030 11:59:59 PM,40.719104784575,-73.958513785716,33,301,3324819,3023180017,557,BK0102,POINT (-73.958513785716 40.719104784575)
"DPR 56, LLC",THE ELGIN,64 WEST   48 STREET,NEW YORK,Manhattan,10036,Roadway,Issued,10/03/2025 01:45:52 PM,10/03/2029 11:59:59 PM,40.758231726846,-73.980396131806,4,105,1034501,1012630067,96,MN0502,POINT (-73.980396131806 40.758231726846)
BEERBERRY CORP,TAP BEER,1781 SHEEPSHEAD BAY ROAD,BROOKLYN,Brooklyn,11235,Roadway,Issued,02/13/2026 03:39:17 PM,02/13/2030 11:59:59 PM,40.584171102484,-73.950792738413,48,315,3247051,3087737501,608,BK1503,POINT (-73.950792738413 40.584171102484)
"HENRO JONES,LLC",HENRY PUBLIC,329 HENRY STREET,BROOKLYN,Brooklyn,11201,Roadway,Issued,08/29/2025 01:45:38 PM,08/29/2029 11:59:59 PM,40.690363504032,-73.996408487991,39,306,3002941,3002850003,45,BK0601,POINT (-73.996408487991 40.690363504032)
ISABEL 196 SPRING LLC,PICCOLA CUCINA OSTERIA,196 SPRING STREET,NEW YORK,Manhattan,10012,Roadway,Issued,10/10/2025 01:37:31 PM,10/10/2029 11:59:59 PM,40.725123284613,-74.00315323801,1,102,1007354,1004890018,47,MN0201,POINT (-74.00315323801 40.725123284613)
KETTLE PIE INC,ALLSWELL,124 BEDFORD AVENUE,BROOKLYN,Brooklyn,11249,Roadway,Issued,08/01/2025 01:40:40 PM,08/01/2029 11:59:59 PM,40.71957315001,-73.955861963907,33,301,3061611,3022970020,517,BK0102,POINT (-73.955861963907 40.71957315001)
